Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Dry Maize,White Maize,-,-,Kangemi Market,37.78/Kg,48.00/Kg,,Nairobi,2024-11-11
Dry Maize,White Maize,-,-,Kangemi Market,36.67/Kg,48.00/Kg,,Nairobi,2024-11-08
Dry Maize,White Maize,-,-,Kangemi Market,37.78/Kg,50.00/Kg,,Nairobi,2024-11-05
Dry Maize,White Maize,-,-,Test Market,36.67/Kg,-,,test,2024-11-04
Dry Maize,Mixed-Traditional,-,-,Kipkaren,40.00/Kg,55.00/Kg,2500.00,Kakamega,2024-10-10
Dry Maize,White Maize,-,-,Kipkaren,50.00/Kg,70.00/Kg,5000.00,Kakamega,2024-10-10
Dry Maize,White Maize,-,-,Kimilili town,24.00/Kg,28.00/Kg,1000.00,Bungoma,2024-10-10
Dry Maize,White Maize,-,-,Kalundu,37.78/Kg,40.00/Kg,,Kitui,2024-10-10
Dry Maize,White Maize,-,-,Kawangware,40.00/Kg,50.00/Kg,,Nairobi,2024-10-10
Dry Maize,Mixed-Traditional,-,-,Test Market,200.00/Kg,250.00/Kg,1000.00,test,2024-10-10
Dry Maize,Yellow Maize,-,-,Test Market,130.00/Kg,200.00/Kg,4000.00,test,2024-10-10
Dry Maize,White Maize,-,-,Test Market,100.00/Kg,150.00/Kg,100.00,test,2024-10-10
Dry Maize,Mixed-Traditional,-,-,Mwatate,31.11/Kg,35.00/Kg,,Taita-Taveta,2024-10-10
Dry Maize,White Maize,-,-,Mwingi Town,37.78/Kg,45.00/Kg,90000.00,Kitui,2024-10-10
Dry Maize,White Maize,-,-,Rongo,26.67/Kg,31.60/Kg,4500.00,Migori,2024-10-09
Dry Maize,White Maize,-,-,Molo,-,28.89/Kg,1500.00,Nakuru,2024-10-09
Dry Maize,White Maize,-,-,Mulot,40.00/Kg,50.00/Kg,12000.00,Bomet,2024-10-09
Dry Maize,White Maize,-,-,Sabatia,31.11/Kg,37.50/Kg,29700.00,Kakamega,2024-10-09
Dry Maize,White Maize,-,-,Kakamega Town,26.67/Kg,35.00/Kg,4500.00,Kakamega,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
Dry Maize,Yellow Maize,-,-,Miruka,-,50.00/Kg,450.00,Nyamira,2024-10-09
